Replicon_name	Species_Id	Lineage
ACAC001.D.00001.C001	ACAC001.D.00001	Bacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium
ACAC001.D.00002.C001	ACAC001.D.00002	Bacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium
ACAC001.D.00003.C001	ACAC001.D.00003	Bacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium
ACAC001.D.00003.P002	ACAC001.D.00003	Bacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium
ACAC001.D.00004.C001	ACAC001.D.00004	Bacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium
ACAC001.D.00005.C001	ACAC001.D.00005	Bacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium
ACAC001.D.00006.C001	ACAC001.D.00006	Bacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium
ACAC002.D.00001.C001	ACAC002.D.00001	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter subgen. Acetobacter
ACAM001.D.00001.C001	ACAM001.D.00001	Bacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinomadura
ACAR001.D.00001.C001	ACAR001.D.00001	Bacteria;Firmicutes;Clostridia;Halanaerobiales;Halobacteroidaceae;Acetohalobium
ACAS001.D.00001.C001	ACAS001.D.00001	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
ACAS001.D.00001.P002	ACAS001.D.00001	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
ACAS001.D.00001.P003	ACAS001.D.00001	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
