Gene	Gene_short	Replicon_name
serC_pdxF	serC	ACAC001.D.00001.C001
pdxP	pdxP	ACAC001.D.00001.C001
yggS	yggS	ACAC001.D.00001.C001
DXS	DXS	ACAC001.D.00001.C001
pdxY	pdxY	ACAC001.D.00001.C001
pdxS	pdxS	ACAC001.D.00001.C001
pdxT	pdxT	ACAC001.D.00001.C001
pdxP	pdxP	ACAC001.D.00001.C001
pdxK_basu	pdxK	ACAC001.D.00001.C001
pdxP	pdxP	ACAC001.D.00001.C001
serC_pdxF	serC	ACAC001.D.00002.C001
pdxP	pdxP	ACAC001.D.00002.C001
pdxK_basu	pdxK	ACAC001.D.00002.C001
pdxP	pdxP	ACAC001.D.00002.C001
pdxY	pdxY	ACAC001.D.00002.C001
DXS	DXS	ACAC001.D.00002.C001
yggS	yggS	ACAC001.D.00002.C001
pdxT	pdxT	ACAC001.D.00002.C001
pdxS	pdxS	ACAC001.D.00002.C001
pdxP	pdxP	ACAC001.D.00002.C001
pdxP	pdxP	ACAC001.D.00003.C001
pdxT	pdxT	ACAC001.D.00003.C001
pdxY	pdxY	ACAC001.D.00003.C001
DXS	DXS	ACAC001.D.00003.C001
yggS	yggS	ACAC001.D.00003.C001
pdxT	pdxT	ACAC001.D.00003.C001
pdxS	pdxS	ACAC001.D.00003.C001
pdxK_basu	pdxK	ACAC001.D.00003.C001
pdxP	pdxP	ACAC001.D.00003.C001
serC_pdxF	serC	ACAC001.D.00003.C001
pdxP	pdxP	ACAC001.D.00003.C001
pdxP	pdxP	ACAC001.D.00004.C001
pdxP	pdxP	ACAC001.D.00004.C001
pdxT	pdxT	ACAC001.D.00004.C001
pdxY	pdxY	ACAC001.D.00004.C001
DXS	DXS	ACAC001.D.00004.C001
yggS	yggS	ACAC001.D.00004.C001
pdxT	pdxT	ACAC001.D.00004.C001
pdxS	pdxS	ACAC001.D.00004.C001
pdxK_basu	pdxK	ACAC001.D.00004.C001
pdxP	pdxP	ACAC001.D.00004.C001
serC_pdxF	serC	ACAC001.D.00004.C001
yggS	yggS	ACAC001.D.00005.C001
DXS	DXS	ACAC001.D.00005.C001
pdxY	pdxY	ACAC001.D.00005.C001
